file,z1,l_hp,l_cost,n_measured,n_bailed
2025-06-04_2p__Weldyn_Channel_Turn_11_(119402).json.gz,-1.0,-28.081764000000028,9.45910159999999,43,13
2025-07-12_2p__Silverhead_Crossing_Turn_13_(149238).json.gz,1.0,9.689399999999992,-53.60583999999999,64,2
2024-11-09_2p__Caves_of_the_Basilisk_Turn_11_(6909).json.gz,1.0,60.165876,34.457344,34,4
2024-06-30_2p_mini_edited_Turn_11_(1654).json.gz,1.0,-6.892000000000005,16.528000000000006,28,5
2024-05-04_2p__Den_of_Onis_Turn_15_(19556).json.gz,1.0,-66.86640880000002,-59.610094399999994,63,10
2026-02-01_2p_-_Micro_Isar_Turn_6_(74918).json.gz,1.0,-23.784999999999997,-14.395800000000001,19,3
2025-08-18_2p__Hamlets_Turn_17_(177837).json.gz,1.0,16.212500000000006,9.9356,49,6
2024-05-26_2p__Hellhole_Turn_23_(33426).json.gz,1.0,-34.14284199999998,26.82149600000001,112,18
2024-08-04_2p__Hamlets_Turn_13_(2341).json.gz,1.0,10.176299999999996,-80.62859999999999,56,7
2026-01-12_2p__Sullas_Ruins_Turn_19_(56119).json.gz,1.0,100.12513440000006,128.7295416,320,78
2025-09-09_2p__Hellhole_Turn_15_(196335).json.gz,1.0,48.46475999999999,-13.267519999999994,54,17
2024-08-31_2p__Arcanclave_Citadel_Turn_21_(17523).json.gz,-1.0,45.383960000000044,-66.16180000000003,116,12
2024-12-28_2p__Hamlets_Turn_24_(11278).json.gz,1.0,-6.767396249730105,85.7568682710091,103,48
2025-01-19_2p__The_Freelands_Turn_12_(8460).json.gz,1.0,-13.81014999999999,-7.690849999999993,40,1
2024-03-28_2p__Fallenstar_Lake_Turn_11_(246).json.gz,1.0,24.06769999999999,43.35542000000001,39,3
2024-03-22_2p__Thousand_Stings_Garrison_Turn_9_(204).json.gz,-1.0,1.9192519999999984,-14.791360000000001,50,10
2024-07-22_2p_mini_edited_Turn_6_(15891).json.gz,-1.0,-42.37190000000001,-12.27044,22,6
